start,end,word
0,0.6399999856948853,"Studio"
0.6399999856948853,1.059999942779541,"AI"
1.059999942779541,1.4800000190734863,"is"
1.4800000190734863,1.600000023841858,"built"
1.600000023841858,1.8799999952316284,"on"
1.8799999952316284,2.059999942779541,"more"
2.059999942779541,2.240000009536743,"than"
2.240000009536743,3.359999895095825,"120"
3.359999895095825,3.880000114440918,"sources"
3.880000114440918,4.360000133514404,"of"
4.360000133514404,4.480000019073486,"wedding"
4.480000019073486,4.920000076293945,"industry"
4.920000076293945,5.599999904632568,"research"
6.400000095367432,6.400000095367432,"customer"
6.400000095367432,6.880000114440918,"behaviour"
6.880000114440918,7.400000095367432,"data"
8.15999984741211,8.300000190734863,"conversion"
8.300000190734863,8.680000305175781,"best"
8.680000305175781,9.199999809265137,"practice"
9.199999809265137,9.800000190734863,"and"
9.800000190734863,10.279999732971191,"real"
10.279999732971191,10.600000381469727,"world"
10.600000381469727,10.9399995803833,"venue"
10.9399995803833,11.640000343322754,"performance"
13.380000114440918,13.479999542236328,"Drawing"
13.479999542236328,13.859999656677246,"on"
13.859999656677246,14.15999984741211,"insights"
14.15999984741211,14.5,"from"
14.5,15.100000381469727,"Bridebook"
15.479999542236328,15.680000305175781,"Hitched"
15.779999732971191,16.219999313354492,"Google"
16.6200008392334,17.260000228881836,"Salesforce"
17.799999237060547,18.260000228881836,"HubSpot"
18.860000610351562,18.959999084472656,"Harvard"
18.959999084472656,19.399999618530273,"Business"
19.399999618530273,19.780000686645508,"Review"
19.780000686645508,20.31999969482422,"and"
20.31999969482422,20.579999923706055,"our"
20.579999923706055,21,"own"
21,21.139999389648438,"wedding"
21.139999389648438,21.520000457763672,"venue"
21.520000457763672,22.079999923706055,"benchmark"
22.079999923706055,22.739999771118164,"research"
23.700000762939453,23.84000015258789,"Because"
23.84000015258789,24.18000030517578,"better"
24.18000030517578,24.540000915527344,"results"
24.540000915527344,24.8799991607666,"don't"
24.8799991607666,25.1200008392334,"come"
25.1200008392334,25.420000076293945,"from"
25.420000076293945,26,"guesswork"
26.360000610351562,26.579999923706055,"they"
26.579999923706055,26.760000228881836,"come"
26.760000228881836,27.18000030517578,"from"
27.18000030517578,27.639999389648438,"understanding"
27.639999389648438,27.959999084472656,"what"
27.959999084472656,28.3799991607666,"today's"
28.3799991607666,28.760000228881836,"couples"
28.760000228881836,29.299999237060547,"actually"
29.299999237060547,29.719999313354492,"respond"
29.719999313354492,30.360000610351562,"to"
31,31,"Studio"
31,31.34000015258789,"AI"
31.34000015258789,31.940000534057617,"analyses"
31.940000534057617,32.52000045776367,"what's"
32.52000045776367,32.900001525878906,"working"
33.79999923706055,33.84000015258789,"identifies"
33.84000015258789,34.5,"what's"
34.5,34.79999923706055,"not"
35.29999923706055,35.459999084472656,"and"
35.459999084472656,35.619998931884766,"helps"
35.619998931884766,35.91999816894531,"you"
35.91999816894531,36.220001220703125,"improve"
36.220001220703125,36.79999923706055,"every"
36.79999923706055,37.15999984741211,"stage"
37.15999984741211,37.5,"of"
37.5,37.540000915527344,"the"
37.540000915527344,37.720001220703125,"couple"
37.720001220703125,38.13999938964844,"journey"
38.65999984741211,38.84000015258789,"From"
38.84000015258789,39.29999923706055,"first"
39.29999923706055,39.7400016784668,"impression"
40.220001220703125,40.47999954223633,"to"
40.47999954223633,40.939998626708984,"first"
40.939998626708984,41.459999084472656,"enquiry"
42,42.2599983215332,"to"
42.2599983215332,42.459999084472656,"booked"
42.459999084472656,42.959999084472656,"tour"
43.619998931884766,44.02000045776367,"six"
44.02000045776367,44.47999954223633,"AI"
44.47999954223633,44.84000015258789,"powered"
44.84000015258789,45.459999084472656,"tools"
46.040000915527344,46.2599983215332,"One"
46.2599983215332,46.560001373291016,"goal"
46.959999084472656,47.18000030517578,"more"
47.18000030517578,47.58000183105469,"venue"
47.58000183105469,47.97999954223633,"tours"
48.47999954223633,48.7599983215332,"more"
48.7599983215332,49.279998779296875,"bookings"
49.70000076293945,49.900001525878906,"more"
49.900001525878906,50.18000030517578,"weddings"
